nom_genre,nom_espece,nom_complet,annee_espece,annee_genre,autorite_espece
Andes,othrepte,Andes othrepte,1956,1866,"Fennah, 1956"
Andes,paludicolis,Andes paludicolis,1960,1866,"Synave, 1960"
Andes,parvus,Andes parvus,1925,1866,"Muir, 1925"
Andes,pasithea,Andes pasithea,1958,1866,"Fennah, 1958"
Andes,plagosa,Andes plagosa,1911,1866,"(Distant, 1911)"
Andes,pseudobrunneus,Andes pseudobrunneus,1925,1866,"Muir, 1925"
Andes,pulchellus,Andes pulchellus,1925,1866,"Muir, 1925"
Andes,pulchra,Andes pulchra,1922,1866,"(Muir, 1922)"
Andes,punctatus,Andes punctatus,1960,1866,"Synave, 1960"
Andes,quadrilaminatus,Andes quadrilaminatus,1925,1866,"Muir, 1925"
Andes,saegeri,Andes saegeri,1960,1866,"Synave, 1960"
Andes,sakinae,Andes sakinae,1963,1866,"Synave, 1963"
Andes,schoutedeni,Andes schoutedeni,1959,1866,"Synave, 1959"
Andes,serratus,Andes serratus,1925,1866,"Muir, 1925"
Andes,serrulatus,Andes serrulatus,1925,1866,"Muir, 1925"
Andes,siberutensis,Andes siberutensis,1926,1866,"Muir, 1926"
Andes,signatus,Andes signatus,1983,1866,"Van Stalle, 1983"
Andes,similis,Andes similis,1953,1866,"Synave, 1953"
Andes,simplex,Andes simplex,1925,1866,"Muir, 1925"
Andes,spinifer,Andes spinifer,1955,1866,"Synave, 1955"
Andes,spinosus,Andes spinosus,1925,1866,"Muir, 1925"
Andes,spinosus,Andes spinosus,1953,1866,"Synave, 1953"
Andes,stramineus,Andes stramineus,1925,1866,"Muir, 1925"
Andes,synavei,Andes synavei,2001,1866,"Emeljanov, 2001"
Andes,taiensis,Andes taiensis,1984,1866,"Van Stalle, 1984"
Andes,tener,Andes tener,1983,1866,"Van Stalle, 1983"
Andes,tigrinus,Andes tigrinus,1958,1866,"Fennah, 1958"
Andes,tortricomorphus,Andes tortricomorphus,1907,1866,"(Kirkaldy, 1907)"
Andes,tridenta,Andes tridenta,1925,1866,"Muir, 1925"
Andes,trispinosus,Andes trispinosus,1925,1866,"Muir, 1925"
Andes,truncatus,Andes truncatus,1953,1866,"Synave, 1953"
Andes,truncatus,Andes truncatus,1978,1866,"Fennah, 1978"
Andes,turrondi,Andes turrondi,2007,1866,"Löcker, 2007"
Andes,uncinatus,Andes uncinatus,1956,1866,"Fennah, 1956"
Andes,undulatus,Andes undulatus,1870,1866,"Stål, 1870"
Andes,unifasciatus,Andes unifasciatus,1925,1866,"Muir, 1925"
Andes,usitatus,Andes usitatus,1925,1866,"Muir, 1925"
Andes,variolosa,Andes variolosa,1911,1866,"(Distant, 1911)"
Andes,vicinus,Andes vicinus,1983,1866,"Van Stalle, 1983"
Andes,villiersi,Andes villiersi,1967,1866,"Synave, 1967"
Andes,vitiensis,Andes vitiensis,1907,1866,"(Kirkaldy, 1907)"
Anila,fuliginosa,Anila fuliginosa,1906,1906,"Distant, 1906"
Anila,versicolor,Anila versicolor,1911,1906,"Distant, 1911"
Ankistrus,basalis,Ankistrus basalis,1991,1991,"Tsaur & Hsu, 1991"
Ankistrus,choui,Ankistrus choui,1991,1991,"Tsaur & Hsu, 1991"
Ankistrus,guttatus,Ankistrus guttatus,1991,1991,"Tsaur & Hsu, 1991"
Ankistrus,montanus,Ankistrus montanus,1991,1991,"Tsaur & Hsu, 1991"
Ankistrus,pini,Ankistrus pini,1991,1991,"Tsaur & Hsu, 1991"
Ankistrus,taoi,Ankistrus taoi,1991,1991,"Tsaur & Hsu, 1991"
Ankistrus,varius,Ankistrus varius,1991,1991,"Tsaur & Hsu, 1991"
Anoculiarus,ornatus,Anoculiarus ornatus,1985,1985,"Dlabola, 1985"
Antillixius,greyi,Antillixius greyi,1928,1928,"Myers, 1928"
Apartus,michalki,Apartus michalki,1948,2002,"(Wagner, 1948)"
Apartus,wagnerianus,Apartus wagnerianus,1965,2002,"(Nast, 1965)"
Asotocixius,diopter,Asotocixius diopter,1983,1983,"Kramer, 1983"
Aulocorypha,punctulata,Aulocorypha punctulata,1879,1879,"Berg, 1879"
Australoma,austrina,Australoma austrina,1907,1907,"Kirkaldy, 1907"
Australoma,baumanensis,Australoma baumanensis,1921,1907,"Muir, 1921"
Australoma,bicolor,Australoma bicolor,1913,1907,"Muir, 1913"
Australoma,brunnia,Australoma brunnia,1922,1907,"Muir, 1922"
Australoma,fusconervata,Australoma fusconervata,1913,1907,"Muir, 1913"
Australoma,grandis,Australoma grandis,1913,1907,"Muir, 1913"
Australoma,pallida,Australoma pallida,1913,1907,"Muir, 1913"
Australoma,pallidula,Australoma pallidula,1913,1907,"Muir, 1913"
Australoma,praetextata,Australoma praetextata,1928,1907,"Jacobi, 1928"
Australoma,wilkesi,Australoma wilkesi,1921,1907,"Muir, 1921"
Bajauana,acuminata,Bajauana acuminata,2010,1907,"Löcker, 2010"
Bajauana,angusticeps,Bajauana angusticeps,1980,1907,"Fennah, 1980"
Bajauana,austrina,Bajauana austrina,1907,1907,"(Kirkaldy, 1907)"
Bajauana,baumanensis,Bajauana baumanensis,1921,1907,"(Muir, 1921)"
Bajauana,bicolor,Bajauana bicolor,1913,1907,"(Muir, 1913)"
Bajauana,brunnia,Bajauana brunnia,1922,1907,"(Muir, 1922)"
Bajauana,campylops,Bajauana campylops,1980,1907,"Fennah, 1980"
Bajauana,castalia,Bajauana castalia,1980,1907,"Fennah, 1980"
Bajauana,chloris,Bajauana chloris,1980,1907,"Fennah, 1980"
Bajauana,combe,Bajauana combe,1980,1907,"Fennah, 1980"
Bajauana,consobrina,Bajauana consobrina,1980,1907,"Fennah, 1980"
Bajauana,declivis,Bajauana declivis,1980,1907,"Fennah, 1980"
Bajauana,demetrius,Bajauana demetrius,1980,1907,"Fennah, 1980"
Bajauana,dichroma,Bajauana dichroma,2001,1907,"Emeljanov, 2001"
Bajauana,fulvia,Bajauana fulvia,1980,1907,"Fennah, 1980"
Bajauana,fusconervata,Bajauana fusconervata,1913,1907,"(Muir, 1913)"
Bajauana,galanthis,Bajauana galanthis,1980,1907,"Fennah, 1980"
Bajauana,grandis,Bajauana grandis,1913,1907,"(Muir, 1913)"
Bajauana,iridipennis,Bajauana iridipennis,1980,1907,"Fennah, 1980"
Bajauana,lacteipennis,Bajauana lacteipennis,1980,1907,"Fennah, 1980"
Bajauana,latifrons,Bajauana latifrons,1980,1907,"Fennah, 1980"
Bajauana,liriope,Bajauana liriope,1980,1907,"(Fennah, 1980)"
Bajauana,liriope melanuris,Bajauana liriope melanuris,1980,1907,"Fennah, 1980"
Bajauana,longurio,Bajauana longurio,1980,1907,"Fennah, 1980"
Bajauana,lucumo,Bajauana lucumo,1980,1907,"Fennah, 1980"
Bajauana,lutea,Bajauana lutea,1980,1907,"Fennah, 1980"
Bajauana,lysimache,Bajauana lysimache,1980,1907,"Fennah, 1980"
Bajauana,manto,Bajauana manto,1980,1907,"Fennah, 1980"
Bajauana,marginata,Bajauana marginata,1870,1907,"(Walker, 1870)"
Bajauana,marica,Bajauana marica,1980,1907,"Fennah, 1980"
Bajauana,mermerus,Bajauana mermerus,1980,1907,"Fennah, 1980"
Bajauana,mestra,Bajauana mestra,1980,1907,"Fennah, 1980"
Bajauana,mithras,Bajauana mithras,1980,1907,"Fennah, 1980"
Bajauana,mnesarchus,Bajauana mnesarchus,1980,1907,"Fennah, 1980"
Bajauana,nicander,Bajauana nicander,1980,1907,"Fennah, 1980"
Bajauana,nigrifrons,Bajauana nigrifrons,1980,1907,"Fennah, 1980"
Bajauana,nitens,Bajauana nitens,1985,1907,"Van Stalle, 1985"
Bajauana,pallida,Bajauana pallida,1913,1907,"(Muir, 1913)"
Bajauana,pallidula,Bajauana pallidula,1913,1907,"(Muir, 1913)"
Bajauana,pinodes,Bajauana pinodes,1980,1907,"Fennah, 1980"
Bajauana,pitho,Bajauana pitho,1980,1907,"Fennah, 1980"
Bajauana,praetextata,Bajauana praetextata,1928,1907,"(Jacobi, 1928)"
Bajauana,rufula,Bajauana rufula,1870,1907,"(Walker, 1870)"
Bajauana,sabazius,Bajauana sabazius,1980,1907,"Fennah, 1980"
Bajauana,semibrunnea,Bajauana semibrunnea,1980,1907,"Fennah, 1980"
Bajauana,sharuhen,Bajauana sharuhen,1980,1907,"Fennah, 1980"
Bajauana,smaragus,Bajauana smaragus,1980,1907,"Fennah, 1980"
Bajauana,sunias,Bajauana sunias,1980,1907,"Fennah, 1980"
Bajauana,theanira,Bajauana theanira,1980,1907,"Fennah, 1980"
Bajauana,timoleon,Bajauana timoleon,1980,1907,"Fennah, 1980"
Bajauana,tithonus,Bajauana tithonus,1980,1907,"Fennah, 1980"
Bajauana,trambelus,Bajauana trambelus,1980,1907,"Fennah, 1980"
Bajauana,varro,Bajauana varro,1980,1907,"Fennah, 1980"
Bajauana,wilkesi,Bajauana wilkesi,1921,1907,"(Muir, 1921)"
Balticixius,insignis,Balticixius insignis†,1856,2007,"(Germar & Berendt, 1856)"
Bangoliarus,truncatus,Bangoliarus truncatus,1984,1984,"Shakila, 1984"
Barma,diversa,Barma diversa,1906,1906,"(Distant, 1906)"
Barma,maculata,Barma maculata,1914,1906,"Matsumura, 1914"
Bathymeria,helmsi,Bathymeria helmsi,1922,1922,"Muir, 1922"
Benna,bimacula,Benna bimacula,1914,1857,"(Melichar, 1914)"
Benna,buruana,Benna buruana,1926,1857,"(Schmidt, 1926)"
Benna,canescens,Benna canescens,1857,1857,"Walker, 1857"
Benna,capitulata,Benna capitulata,1857,1857,"Walker, 1857"
Benna,clarescens,Benna clarescens,1857,1857,"(Walker, 1857)"
Benna,clarescens,Benna clarescens,1857,1857,"Walker, 1857"
Benna,consul,Benna consul,1956,1857,"(Fennah, 1956)"
Benna,cyclopina,Benna cyclopina,1950,1857,"(Nast, 1950)"
Benna,ditiasa,Benna ditiasa,1907,1857,"Distant, 1907"
Benna,ditiasa,Benna ditiasa,1950,1857,"(Nast, 1950)"
Benna,fennahi,Benna fennahi,1950,1857,"(Nast, 1950)"
Benna,formosana,Benna formosana,1950,1857,"(Nast, 1950)"
Benna,fuscomaculata,Benna fuscomaculata,1953,1857,"Lallemand & Synave, 1953"
Benna,gorgyra,Benna gorgyra,1970,1857,"Fennah, 1970"
Benna,guttata,Benna guttata,1870,1857,"(Walker, 1870)"
Benna,marmorata,Benna marmorata,1950,1857,"(Nast, 1950)"
Benna,miranda,Benna miranda,2013,1857,"Hoch, 2013"
Benna,nasti,Benna nasti,1989,1857,"Emeljanov, 1989"
Benna,olivacea,Benna olivacea,1900,1857,"Matsumura, 1900"
Benna,pahanga,Benna pahanga,2013,1857,"Hoch, 2013"
Benna,praestans,Benna praestans,1857,1857,"(Walker, 1857)"
Benna,praetor,Benna praetor,1956,1857,"(Fennah, 1956)"
Benna,rhyparoptera,Benna rhyparoptera,1870,1857,"Stål, 1870"
Benna,sinuata,Benna sinuata,1914,1857,"Melichar, 1914"
Benna,venosa,Benna venosa,1940,1857,"(Van Duzee, 1940)"
Benna,wareea,Benna wareea,2013,1857,"Hoch, 2013"
Bennarella,bicoloripennis,Bennarella bicoloripennis,1930,1930,"Muir, 1930"
Bennarella,fusca,Bennarella fusca,1930,1930,"Muir, 1930"
Betacixius,bispinus,Betacixius bispinus,2011,1914,"Zhang & Chen, 2011"
Betacixius,brunneus,Betacixius brunneus,1914,1914,"Matsumura, 1914"
Betacixius,clypealis,Betacixius clypealis,1914,1914,"Matsumura, 1914"
Betacixius,delicatus,Betacixius delicatus,1991,1914,"Tsaur & Hsu, 1991"
Betacixius,euterpe,Betacixius euterpe,1956,1914,"Fennah, 1956"
Betacixius,flagellihamus,Betacixius flagellihamus,2011,1914,"Zhang & Chen, 2011"
Betacixius,flavovittatus,Betacixius flavovittatus,1982,1914,"Hori, 1982"
Betacixius,fuscus,Betacixius fuscus,1991,1914,"Tsaur & Hsu, 1991"
Betacixius,herbaceus,Betacixius herbaceus,1991,1914,"Tsaur & Hsu, 1991"
Betacixius,kumejimae,Betacixius kumejimae,1914,1914,"Matsumura, 1914"
Betacixius,maculosus,Betacixius maculosus,1991,1914,"Tsaur & Hsu, 1991"
Betacixius,michioi,Betacixius michioi,1982,1914,"Hori, 1982"
Betacixius,nelides,Betacixius nelides,1956,1914,"Fennah, 1956"
Betacixius,nigromarginalis,Betacixius nigromarginalis,1956,1914,"Fennah, 1956"
Betacixius,obliquus,Betacixius obliquus,1914,1914,"Matsumura, 1914"
Betacixius,ocellatus,Betacixius ocellatus,1914,1914,"Matsumura, 1914"
Betacixius,pallidior,Betacixius pallidior,1944,1914,"Jacobi, 1944"
Betacixius,rinkihonis,Betacixius rinkihonis,1914,1914,"Matsumura, 1914"
Betacixius,robustus,Betacixius robustus,1944,1914,"Jacobi, 1944"
Betacixius,shirozui,Betacixius shirozui,1982,1914,"Hori, 1982"
Betacixius,sparsus,Betacixius sparsus,1991,1914,"Tsaur & Hsu, 1991"
Betacixius,tonkinensis,Betacixius tonkinensis,1914,1914,"Matsumura, 1914"
Betacixius,transversus,Betacixius transversus,1944,1914,"Jacobi, 1944"
Bitropis,fasciata,Bitropis fasciata,1894,1985,"(Horváth, 1894)"
Bodecia,varipes,Bodecia varipes,1870,1870,"Walker, 1870"
Borbonomyndus,pallidus,Borbonomyndus pallidus,1960,2002,"(Synave, 1960)"
Borbonomyndus,pandanicola,Borbonomyndus pandanicola,2002,2002,"Attié, Bourgoin & Bonfils, 2002"
Borysthenes,acuminatus,Borysthenes acuminatus,1956,1866,"Fennah, 1956"
Borysthenes,certus,Borysthenes certus,1913,1866,"Muir, 1913"
